Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-05-23 00:00:00-04:00,10.055413573392133,10.270733055237448,9.732434692865045,10.220491409301758,284200,0.0,0.0
2013-05-24 00:00:00-04:00,10.120009228563644,10.20972562000665,9.926221494495516,10.091300010681152,187200,0.0,0.0
2013-05-28 00:00:00-04:00,10.231260391548082,10.40710448870211,9.997997841628735,10.044650077819824,235100,0.0,0.0
2013-05-29 00:00:00-04:00,9.929811405804756,9.994407324794802,9.531470361687367,9.854449272155762,463400,0.0,0.0
2013-05-30 00:00:00-04:00,9.868804860948025,10.112833599754019,9.850861853175413,10.055415153503418,157000,0.0,0.0
2013-05-31 00:00:00-04:00,10.030295139323634,10.123599605496127,9.78267765045166,9.78267765045166,268500,0.0,0.0
2013-06-03 00:00:00-04:00,9.818563774053796,9.990819110743404,9.667840183329922,9.840095520019531,271600,0.0,0.0
2013-06-04 00:00:00-04:00,9.86880563740213,9.897514862786204,9.775500483783405,9.80420970916748,116000,0.0,0.0
2013-06-05 00:00:00-04:00,9.764733581537975,9.87239368252577,9.70013834232355,9.725258827209473,182100,0.0,0.0
2013-06-06 00:00:00-04:00,9.714492416593243,9.893925230152725,9.71090367818423,9.879570960998535,121500,0.0,0.0
2013-06-07 00:00:00-04:00,9.947755709690671,10.008762898416908,9.80062084590656,9.850862503051758,206200,0.0,0.0
2013-06-10 00:00:00-04:00,9.868804480889251,9.947754670322901,9.69654914877119,9.919045448303223,112400,0.0,0.0
2013-06-11 00:00:00-04:00,9.822152124881203,9.965698233124906,9.761144943317401,9.886747360229492,203400,0.0,0.0
2013-06-12 00:00:00-04:00,9.922635941122875,9.997998090051112,9.739614361705117,9.74679183959961,136300,0.0,0.0
2013-06-13 00:00:00-04:00,9.753967908328635,10.094889845280095,9.728847423809059,10.059003829956055,178100,0.0,0.0
2013-06-14 00:00:00-04:00,10.087713552346244,10.198961711218764,10.062593066582956,10.069769859313965,147900,0.0,0.0
2013-06-17 00:00:00-04:00,10.152308071544692,10.346095138067897,10.105655160607126,10.15948486328125,159800,0.0,0.0
2013-06-18 00:00:00-04:00,10.252790204138751,10.303031169700713,10.102066622971048,10.267145156860352,184800,0.0,0.0
2013-06-19 00:00:00-04:00,10.292264535858594,10.331739967127675,10.084122535090094,10.091300010681152,205200,0.0,0.0
2013-06-20 00:00:00-04:00,9.872395373693294,9.890338384690674,9.549416384366504,9.660664558410645,343900,0.0,0.0
2013-06-21 00:00:00-04:00,9.714492413669326,9.883159696432864,9.689371929295657,9.840095520019531,310600,0.0,0.0
2013-06-24 00:00:00-04:00,9.761145355010292,9.761145355010292,9.15107351364145,9.36998176574707,528700,0.0,0.0
2013-06-25 00:00:00-04:00,9.520704589881925,9.642718948326081,9.445342458145566,9.581711769104004,233000,0.0,0.0
2013-06-26 00:00:00-04:00,9.646638834885868,9.680031102851252,9.424023951007706,9.490808486938477,195400,0.875,0.0
2013-06-27 00:00:00-04:00,9.579856472660035,9.798761075581952,9.490810640438584,9.787630081176758,170700,0.0,0.0
2013-06-28 00:00:00-04:00,9.787632569802165,9.936043035579798,9.706007379763307,9.921201705932617,240600,0.0,0.0
2013-07-01 00:00:00-04:00,10.021376486368643,10.09187137227266,9.928620318269347,10.028797149658203,140600,0.0,0.0
