Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-01 00:00:00-04:00,244.0,244.0,244.0,244.0,8,0.0,0.0
2021-04-05 00:00:00-04:00,244.0,244.0,244.0,244.0,4,0.0,0.0
2021-04-06 00:00:00-04:00,244.5,244.5,244.5,244.5,8,0.0,0.0
2021-04-07 00:00:00-04:00,245.5,246.75,242.75,245.75,636,0.0,0.0
2021-04-08 00:00:00-04:00,245.25,245.25,244.85000610351562,244.85000610351562,68,0.0,0.0
2021-04-09 00:00:00-04:00,247.0,247.25,246.75,247.25,716,0.0,0.0
2021-04-12 00:00:00-04:00,245.25,246.25,243.5,246.25,10048,0.0,0.0
2021-04-13 00:00:00-04:00,250.0,251.75,246.25,250.75,63244,0.0,0.0
2021-04-14 00:00:00-04:00,252.5,252.5,246.625,246.75,4080,0.0,0.0
2021-04-15 00:00:00-04:00,247.5,248.5,246.75,247.5,920,0.0,0.0
2021-04-16 00:00:00-04:00,247.0,248.875,247.0,247.0,44,0.0,0.0
2021-04-19 00:00:00-04:00,246.75,247.0,245.0,246.25,2216,0.0,0.0
2021-04-20 00:00:00-04:00,245.25,245.75,244.0,244.0,728,0.0,0.0
2021-04-21 00:00:00-04:00,243.5,246.75,243.5,245.75,4156,0.0,0.0
2021-04-22 00:00:00-04:00,244.875,245.5,243.75,245.0,684,0.0,0.0
2021-04-23 00:00:00-04:00,242.75,245.75,242.75,245.5,168,0.0,0.0
2021-04-26 00:00:00-04:00,242.75,246.25,242.5,243.75,184,0.0,0.0
2021-04-27 00:00:00-04:00,243.75,245.0,241.75,243.25,6204,0.0,0.0
2021-04-28 00:00:00-04:00,243.5,245.25,242.5,244.5,6808,0.0,0.0
2021-04-29 00:00:00-04:00,243.25,245.25,225.5,243.25,6828,0.0,0.0
2021-04-30 00:00:00-04:00,243.5,244.5,243.5,244.5,360,0.0,0.0
2021-05-03 00:00:00-04:00,245.0,245.0,243.0,244.5,324,0.0,0.0
2021-05-04 00:00:00-04:00,243.75,244.75,240.0,243.75,472,0.0,0.0
2021-05-05 00:00:00-04:00,243.5,244.5,243.25,244.0,1568,0.0,0.0
2021-05-06 00:00:00-04:00,244.25,244.25,243.0,243.75,48,0.0,0.0
2021-05-07 00:00:00-04:00,243.5,244.5,242.625,244.5,228,0.0,0.0
2021-05-10 00:00:00-04:00,244.5,244.5,243.75,243.75,44,0.0,0.0
2021-05-11 00:00:00-04:00,243.0,243.5,242.25,243.5,220,0.0,0.0
2021-05-12 00:00:00-04:00,242.5,243.5,240.0,243.25,540,0.0,0.0
2021-05-13 00:00:00-04:00,242.5,243.25,241.5749969482422,242.75,4768,0.0,0.0
2021-05-14 00:00:00-04:00,242.375,243.0,241.75,243.0,380,0.0,0.0
2021-05-17 00:00:00-04:00,243.75,243.75,243.0,243.0,80,0.0,0.0
2021-05-18 00:00:00-04:00,242.5,243.25,242.5,243.25,1444,0.0,0.0
2021-05-19 00:00:00-04:00,242.5,242.5,241.25,242.5,3204,0.0,0.0
2021-05-20 00:00:00-04:00,243.5,243.75,241.0,241.5,5008,0.0,0.0
2021-05-21 00:00:00-04:00,242.0,242.5,240.25,242.5,4856,0.0,0.0
2021-05-24 00:00:00-04:00,241.5,244.75,241.25,244.75,664,0.0,0.0
2021-05-25 00:00:00-04:00,243.25,243.25,242.25,243.0,120,0.0,0.0
2021-05-26 00:00:00-04:00,243.25,243.25,242.5,242.75,244,0.0,0.0
2021-05-27 00:00:00-04:00,242.75,243.25,242.75,242.8000030517578,204,0.0,0.0
2021-05-28 00:00:00-04:00,243.75,245.75,243.75,245.5,8860,0.0,0.0
2021-06-01 00:00:00-04:00,247.25,247.5,244.5,245.0,4348,0.0,0.0
2021-06-02 00:00:00-04:00,246.5,246.75,244.5,245.0,2252,0.0,0.0
2021-06-03 00:00:00-04:00,248.5,248.5,245.0,246.5,169820,0.0,0.0
2021-06-04 00:00:00-04:00,247.5,247.5,246.25,246.75,66340,0.0,0.0
2021-06-07 00:00:00-04:00,247.25,248.5,246.75,247.75,10020,0.0,0.0
2021-06-08 00:00:00-04:00,248.75,249.75,247.25,248.25,11784,0.0,0.0
2021-06-09 00:00:00-04:00,248.25,249.0,247.25,247.875,5916,0.0,0.0
2021-06-10 00:00:00-04:00,248.25,248.25,246.5,248.0,7824,0.0,0.0
2021-06-11 00:00:00-04:00,248.25,248.5,247.5,247.75,4496,0.0,0.0
2021-06-14 00:00:00-04:00,248.5,248.5,248.02499389648438,248.375,3572,0.0,0.0
2021-06-15 00:00:00-04:00,248.25,248.25,246.75,247.75,6540,0.0,0.0
2021-06-16 00:00:00-04:00,248.0,248.25,245.0,246.75,27100,0.0,0.0
2021-06-17 00:00:00-04:00,247.25,247.5,246.5,247.0,14556,0.0,0.0
2021-06-18 00:00:00-04:00,247.0,249.25,246.75,247.5,12876,0.0,0.0
2021-06-21 00:00:00-04:00,248.25,248.25,247.75,247.75,2196,0.0,0.0
2021-06-22 00:00:00-04:00,248.25,248.25,247.0,247.25,644,0.0,0.0
2021-06-23 00:00:00-04:00,248.25,248.25,247.0,247.375,5192,0.0,0.0
2021-06-24 00:00:00-04:00,248.25,248.5,247.25,248.25,4508,0.0,0.0
2021-06-25 00:00:00-04:00,248.0,248.0,246.75,247.5,4092,0.0,0.0
2021-06-28 00:00:00-04:00,247.5,248.0,247.5,247.75,2804,0.0,0.0
2021-06-29 00:00:00-04:00,248.0,248.0,247.0,247.25,1836,0.0,0.0
2021-06-30 00:00:00-04:00,247.25,248.0,247.0500030517578,247.25,1868,0.0,0.0
2021-07-01 00:00:00-04:00,247.5,247.75,247.0500030517578,247.25,2056,0.0,0.0
2021-07-02 00:00:00-04:00,247.0,248.5,247.0,248.25,26600,0.0,0.0
2021-07-06 00:00:00-04:00,248.0,248.0,246.75,246.75,12432,0.0,0.0
2021-07-07 00:00:00-04:00,247.75,247.75,246.75,247.625,6116,0.0,0.0
2021-07-08 00:00:00-04:00,247.5,247.75,247.0,247.25,1816,0.0,0.0
2021-07-09 00:00:00-04:00,247.5,247.5,247.0,247.0,11192,0.0,0.0
2021-07-12 00:00:00-04:00,247.75,247.75,246.75,246.75,776,0.0,0.0
2021-07-13 00:00:00-04:00,247.5,247.5,246.75,246.875,2528,0.0,0.0
2021-07-14 00:00:00-04:00,246.75,247.25,246.75,246.75,9380,0.0,0.0
2021-07-15 00:00:00-04:00,247.0,247.5,246.75,247.5,43096,0.0,0.0
2021-07-16 00:00:00-04:00,247.5,247.5,246.75,247.25,800,0.0,0.0
2021-07-19 00:00:00-04:00,246.75,247.5,246.75,247.0,1160,0.0,0.0
2021-07-20 00:00:00-04:00,246.75,247.25,246.5,246.9499969482422,1776,0.0,0.0
2021-07-21 00:00:00-04:00,246.75,247.5,246.75,247.3249969482422,2188,0.0,0.0
2021-07-22 00:00:00-04:00,246.75,248.0,246.75,248.0,2688,0.0,0.0
2021-07-23 00:00:00-04:00,248.0,248.0,247.0,247.25,1072,0.0,0.0
2021-07-26 00:00:00-04:00,247.75,247.75,247.0,247.5,2480,0.0,0.0
2021-07-27 00:00:00-04:00,246.25,247.5,246.25,246.75,4448,0.0,0.0
2021-07-28 00:00:00-04:00,246.75,247.5,246.25,246.25,2432,0.0,0.0
2021-07-29 00:00:00-04:00,247.0,247.25,246.25,246.25,6100,0.0,0.0
2021-07-30 00:00:00-04:00,246.25,246.75,246.25,246.25,3664,0.0,0.0
2021-08-02 00:00:00-04:00,246.75,247.0,246.25,246.5,1160,0.0,0.0
2021-08-03 00:00:00-04:00,247.0,247.0,246.5,247.0,22784,0.0,0.0
2021-08-04 00:00:00-04:00,247.25,247.5,246.5,247.25,460,0.0,0.0
2021-08-05 00:00:00-04:00,247.5,247.97500610351562,246.5,247.5,456,0.0,0.0
2021-08-06 00:00:00-04:00,247.5,247.5,246.25,246.25,484,0.0,0.0
2021-08-09 00:00:00-04:00,246.75,246.75,246.25,246.75,800,0.0,0.0
2021-08-10 00:00:00-04:00,246.75,247.5,246.25,247.0,2764,0.0,0.0
2021-08-11 00:00:00-04:00,248.0,248.0,246.5,247.25,4928,0.0,0.0
2021-08-12 00:00:00-04:00,247.5,247.5,247.0,247.25,500,0.0,0.0
2021-08-13 00:00:00-04:00,247.5,247.5,246.0,246.75,3120,0.0,0.0
2021-08-16 00:00:00-04:00,246.75,247.0,246.75,246.875,4380,0.0,0.0
2021-08-17 00:00:00-04:00,246.5,247.0,246.0,246.625,1744,0.0,0.0
2021-08-18 00:00:00-04:00,247.5,247.5,246.25,246.5,10292,0.0,0.0
2021-08-19 00:00:00-04:00,246.0,247.25,245.75,247.25,6888,0.0,0.0
2021-08-20 00:00:00-04:00,246.75,247.0,245.75,246.5,1540,0.0,0.0
2021-08-23 00:00:00-04:00,246.75,247.25,246.75,247.25,1004,0.0,0.0
2021-08-24 00:00:00-04:00,247.0,247.0,246.5,247.0,1784,0.0,0.0
2021-08-25 00:00:00-04:00,246.75,247.5,246.75,247.5,7892,0.0,0.0
2021-08-26 00:00:00-04:00,247.5,247.5,246.75,247.5,7180,0.0,0.0
2021-08-27 00:00:00-04:00,246.5,247.5,246.5,247.5,1808,0.0,0.0
2021-08-30 00:00:00-04:00,247.5,247.75,247.0,247.75,4640,0.0,0.0
2021-08-31 00:00:00-04:00,247.5,248.125,247.5,248.0,3120,0.0,0.0
2021-09-01 00:00:00-04:00,247.5,248.0,247.5,247.75,17872,0.0,0.0
2021-09-02 00:00:00-04:00,248.0,248.25,247.0,248.0,3924,0.0,0.0
2021-09-03 00:00:00-04:00,248.25,248.25,248.0,248.0,1064,0.0,0.0
2021-09-07 00:00:00-04:00,248.25,248.25,247.5,248.25,1404,0.0,0.0
2021-09-08 00:00:00-04:00,248.25,248.25,247.5,248.0,228,0.0,0.0
2021-09-09 00:00:00-04:00,248.0,248.25,248.0,248.0,812,0.0,0.0
2021-09-10 00:00:00-04:00,248.75,248.75,247.97500610351562,248.0,156,0.0,0.0
2021-09-13 00:00:00-04:00,248.0,248.5,247.75,248.375,1036,0.0,0.0
2021-09-14 00:00:00-04:00,248.5,248.5,248.25,248.25,4008,0.0,0.0
2021-09-15 00:00:00-04:00,248.5,249.5,248.0,248.8000030517578,20880,0.0,0.0
2021-09-16 00:00:00-04:00,249.25,249.25,248.75,249.0,4232,0.0,0.0
2021-09-17 00:00:00-04:00,249.0,249.5,249.0,249.0,28404,0.0,0.0
2021-09-20 00:00:00-04:00,249.5,249.5,249.0,249.0,8952,0.0,0.0
2021-09-21 00:00:00-04:00,249.5,249.5,249.0,249.25,3824,0.0,0.0
2021-09-22 00:00:00-04:00,249.5,249.52499389648438,249.0,249.0,12388,0.0,0.0
2021-09-23 00:00:00-04:00,249.25,249.5,249.25,249.25,6264,0.0,0.0
2021-09-24 00:00:00-04:00,249.5,249.75,249.25,249.5,5984,0.0,0.0
2021-09-27 00:00:00-04:00,249.5,249.5,249.0,249.25,57064,0.0,0.0
2021-09-28 00:00:00-04:00,249.25,249.5,249.0,249.5,9520,0.0,0.0
2021-09-29 00:00:00-04:00,249.5,249.5,249.0,249.5,18492,0.0,0.0
2021-09-30 00:00:00-04:00,249.25,249.5,249.0,249.25,5756,0.0,0.0
2021-10-01 00:00:00-04:00,249.25,249.5,249.25,249.5,17708,0.0,0.0
2021-10-04 00:00:00-04:00,249.5,249.5,249.25,249.5,3132,0.0,0.0
2021-10-05 00:00:00-04:00,249.25,249.75,249.25,249.5,888,0.0,0.0
2021-10-06 00:00:00-04:00,249.25,249.5,249.0,249.0,11128,0.0,0.0
2021-10-07 00:00:00-04:00,249.25,249.6750030517578,249.25,249.5,9184,0.0,0.0
2021-10-08 00:00:00-04:00,249.5,249.75,249.25,249.5,29808,0.0,0.0
2021-10-11 00:00:00-04:00,249.75,249.75,249.25,249.75,16176,0.0,0.0
2021-10-12 00:00:00-04:00,249.25,249.75,249.25,249.5,5120,0.0,0.0
2021-10-13 00:00:00-04:00,249.5,249.75,249.5,249.75,21504,0.0,0.0
2021-10-14 00:00:00-04:00,249.75,249.75,249.5,249.75,11020,0.0,0.0
2021-10-15 00:00:00-04:00,246.25,246.25,242.75,243.75,2376,0.0,0.0
2021-10-18 00:00:00-04:00,245.25,251.25,241.0,250.0,45504,0.0,0.0
2021-10-19 00:00:00-04:00,251.0,252.25,247.5,248.25,10452,0.0,0.0
2021-10-20 00:00:00-04:00,249.0,250.375,239.0,240.0,8368,0.0,0.0
2021-10-21 00:00:00-04:00,240.5,249.375,229.75,230.0,5908,0.0,0.0
2021-10-22 00:00:00-04:00,250.25,345.0,244.0,272.5,21076,0.0,0.0
2021-10-25 00:00:00-04:00,268.75,282.25,243.75,244.0,9484,0.0,0.0
2021-10-26 00:00:00-04:00,250.0,400.0,250.0,284.25,107264,0.0,0.0
2021-10-27 00:00:00-04:00,304.0,334.75,284.5,292.75,132456,0.0,0.0
2021-10-28 00:00:00-04:00,284.75,284.75,263.1499938964844,264.25,20212,0.0,0.0
2021-10-29 00:00:00-04:00,264.75,273.75,253.0,258.0,13360,0.0,0.0
2021-11-01 00:00:00-04:00,268.5,272.0,241.0,242.5,21668,0.0,0.0
2021-11-02 00:00:00-04:00,250.0,255.25,233.75,235.0,17444,0.0,0.0
2021-11-03 00:00:00-04:00,236.0,258.25,230.25,247.25,27476,0.0,0.0
2021-11-04 00:00:00-04:00,247.5,251.5,239.0,241.5,11252,0.0,0.0
2021-11-05 00:00:00-04:00,241.0,250.75,239.0,240.0,6416,0.0,0.0
2021-11-08 00:00:00-05:00,245.25,253.0,238.0,249.25,9248,0.0,0.0
2021-11-09 00:00:00-05:00,248.0,250.3000030517578,242.75,245.5,9288,0.0,0.0
2021-11-10 00:00:00-05:00,236.75,246.25,232.75,239.5,5960,0.0,0.0
2021-11-11 00:00:00-05:00,249.0,266.25,237.75,249.75,30496,0.0,0.0
2021-11-12 00:00:00-05:00,252.5,252.75,237.75,252.25,9976,0.0,0.0
2021-11-15 00:00:00-05:00,248.0,252.5,233.75,237.75,14644,0.0,0.0
2021-11-16 00:00:00-05:00,243.25,246.75,220.5,230.5,10724,0.0,0.0
2021-11-17 00:00:00-05:00,234.75,234.75,225.75,227.0,4384,0.0,0.0
2021-11-18 00:00:00-05:00,228.5,234.25,210.75,215.25,7976,0.0,0.0
2021-11-19 00:00:00-05:00,220.0,222.0,202.25,205.0,7816,0.0,0.0
2021-11-22 00:00:00-05:00,204.25,205.0,196.25,199.25,6828,0.0,0.0
2021-11-23 00:00:00-05:00,200.0,211.75,193.25,198.5,7732,0.0,0.0
2021-11-24 00:00:00-05:00,197.5,203.0,194.75,199.75,5124,0.0,0.0
2021-11-26 00:00:00-05:00,211.0,211.0,195.25,201.5,3092,0.0,0.0
2021-11-29 00:00:00-05:00,202.25,208.5,197.5,200.0,3812,0.0,0.0
2021-11-30 00:00:00-05:00,196.5,204.5,195.25,196.5,2780,0.0,0.0
2021-12-01 00:00:00-05:00,195.0,200.0,186.25,187.75,5596,0.0,0.0
2021-12-02 00:00:00-05:00,188.0,192.25,182.75,184.25,3364,0.0,0.0
2021-12-03 00:00:00-05:00,183.25,197.25,170.0,173.25,3608,0.0,0.0
2021-12-06 00:00:00-05:00,168.75,171.75,155.5,165.25,7048,0.0,0.0
2021-12-07 00:00:00-05:00,172.25,177.0749969482422,168.75,172.0,7260,0.0,0.0
2021-12-08 00:00:00-05:00,176.25,177.64999389648438,171.25,173.75,6848,0.0,0.0
2021-12-09 00:00:00-05:00,175.25,187.25,160.75,162.5,6748,0.0,0.0
2021-12-10 00:00:00-05:00,165.75,165.75,156.5749969482422,159.5,4516,0.0,0.0
2021-12-13 00:00:00-05:00,160.0,164.5,157.0,161.75,6556,0.0,0.0
2021-12-14 00:00:00-05:00,161.25,161.75,157.5,158.5,5304,0.0,0.0
2021-12-15 00:00:00-05:00,157.5,160.60000610351562,150.5,159.0,5636,0.0,0.0
2021-12-16 00:00:00-05:00,160.0,164.0,156.75,160.75,7400,0.0,0.0
2021-12-17 00:00:00-05:00,162.5,169.9499969482422,154.5,158.75,10104,0.0,0.0
2021-12-20 00:00:00-05:00,165.25,165.25,155.625,158.25,4676,0.0,0.0
2021-12-21 00:00:00-05:00,160.75,164.75,154.375,155.75,7096,0.0,0.0
2021-12-22 00:00:00-05:00,156.75,162.0,155.75,160.0,7200,0.0,0.0
2021-12-23 00:00:00-05:00,159.25,163.75,152.5,160.5,16724,0.0,0.0
2021-12-27 00:00:00-05:00,160.5,165.5,153.5,155.75,5908,0.0,0.0
2021-12-28 00:00:00-05:00,155.75,157.25,142.5,148.75,6080,0.0,0.0
2021-12-29 00:00:00-05:00,150.75,156.0,146.25,151.0,13400,0.0,0.0
2021-12-30 00:00:00-05:00,149.25,157.25,147.52499389648438,150.25,4244,0.0,0.0
2021-12-31 00:00:00-05:00,150.0,156.25,143.75,145.75,3556,0.0,0.0
2022-01-03 00:00:00-05:00,146.75,157.0,145.75,156.0,10188,0.0,0.0
2022-01-04 00:00:00-05:00,162.5,175.0,159.0,168.0,13120,0.0,0.0
2022-01-05 00:00:00-05:00,170.0,172.5,157.5,157.5,5564,0.0,0.0
2022-01-06 00:00:00-05:00,162.5,162.5,146.25,148.75,5980,0.0,0.0
2022-01-07 00:00:00-05:00,146.5,150.75,137.75,138.25,7592,0.0,0.0
2022-01-10 00:00:00-05:00,141.25,144.75,140.75,143.75,4824,0.0,0.0
2022-01-11 00:00:00-05:00,141.25,155.0,141.25,150.25,3524,0.0,0.0
2022-01-12 00:00:00-05:00,154.25,160.5,143.75,146.0,4856,0.0,0.0
2022-01-13 00:00:00-05:00,162.5,175.0,154.75,170.5,31756,0.0,0.0
2022-01-14 00:00:00-05:00,172.0,176.75,157.75,163.0,10048,0.0,0.0
2022-01-18 00:00:00-05:00,158.0,174.25,155.25,155.5,6716,0.0,0.0
2022-01-19 00:00:00-05:00,157.5,179.0,146.5,168.25,6548,0.0,0.0
2022-01-20 00:00:00-05:00,168.25,172.25,151.75,152.5,6312,0.0,0.0
2022-01-21 00:00:00-05:00,148.25,157.25,148.25,149.0,4272,0.0,0.0
2022-01-24 00:00:00-05:00,151.25,154.75,137.75,150.75,9860,0.0,0.0
2022-01-25 00:00:00-05:00,150.0,161.5,143.25,145.25,5088,0.0,0.0
2022-01-26 00:00:00-05:00,145.5,154.75,144.875,148.0,2628,0.0,0.0
2022-01-27 00:00:00-05:00,148.25,153.3249969482422,139.75,141.25,4228,0.0,0.0
2022-01-28 00:00:00-05:00,141.25,146.1750030517578,136.75,138.75,4268,0.0,0.0
2022-01-31 00:00:00-05:00,141.0,148.0,137.5,144.5,4012,0.0,0.0
2022-02-01 00:00:00-05:00,146.0,151.0,140.75,142.75,4812,0.0,0.0
2022-02-02 00:00:00-05:00,142.75,142.75,134.0,135.25,6860,0.0,0.0
2022-02-03 00:00:00-05:00,136.25,139.0,125.75,128.0,4268,0.0,0.0
2022-02-04 00:00:00-05:00,125.0,130.5,125.0,128.5,4476,0.0,0.0
2022-02-07 00:00:00-05:00,134.5,134.875,128.75,130.0,4112,0.0,0.0
2022-02-08 00:00:00-05:00,129.0,132.5,125.0,125.75,7072,0.0,0.0
2022-02-09 00:00:00-05:00,125.75,131.25,125.0,126.5,7836,0.0,0.0
2022-02-10 00:00:00-05:00,125.25,127.5,124.0,126.5,14128,0.0,0.0
2022-02-11 00:00:00-05:00,127.0,132.875,123.75,124.75,6936,0.0,0.0
2022-02-14 00:00:00-05:00,124.25,127.75,122.5,122.75,4172,0.0,0.0
2022-02-15 00:00:00-05:00,123.75,130.125,123.75,130.0,3332,0.0,0.0
2022-02-16 00:00:00-05:00,133.5,133.5,122.75,126.75,8144,0.0,0.0
2022-02-17 00:00:00-05:00,126.0,126.0,117.5,117.5,3828,0.0,0.0
2022-02-18 00:00:00-05:00,116.25,122.25,113.75,121.5,6520,0.0,0.0
2022-02-22 00:00:00-05:00,122.75,127.0,117.5,118.75,10628,0.0,0.0
2022-02-23 00:00:00-05:00,117.5,124.5,115.25,120.0,4532,0.0,0.0
2022-02-24 00:00:00-05:00,115.25,119.5,112.5,117.75,8140,0.0,0.0
2022-02-25 00:00:00-05:00,118.0,118.5,112.5,115.5,4980,0.0,0.0
2022-02-28 00:00:00-05:00,115.5,123.25,114.5,120.75,10084,0.0,0.0
2022-03-01 00:00:00-05:00,122.5,123.25,115.25,117.5,2432,0.0,0.0
2022-03-02 00:00:00-05:00,118.0,119.5250015258789,115.0,117.25,3896,0.0,0.0
2022-03-03 00:00:00-05:00,118.25,122.0,115.5,120.25,2284,0.0,0.0
2022-03-04 00:00:00-05:00,119.25,137.75,115.5999984741211,131.75,8836,0.0,0.0
2022-03-07 00:00:00-05:00,135.5,135.5,122.75,125.5,2228,0.0,0.0
2022-03-08 00:00:00-05:00,126.42500305175781,135.5,125.0,131.0,4296,0.0,0.0
2022-03-09 00:00:00-05:00,130.5,133.5,128.0,130.25,3588,0.0,0.0
2022-03-10 00:00:00-05:00,135.25,135.25,122.5,124.5,3240,0.0,0.0
2022-03-11 00:00:00-05:00,123.0,123.0,111.0,118.25,4440,0.0,0.0
2022-03-14 00:00:00-04:00,120.75,120.75,107.0,113.0,9536,0.0,0.0
2022-03-15 00:00:00-04:00,112.5,116.0,98.5,113.5,12928,0.0,0.0
2022-03-16 00:00:00-04:00,114.5,120.25,111.25,119.75,2700,0.0,0.0
2022-03-17 00:00:00-04:00,118.0,122.5250015258789,112.25,114.0,4268,0.0,0.0
2022-03-18 00:00:00-04:00,111.0,120.5,111.0,119.25,5616,0.0,0.0
2022-03-21 00:00:00-04:00,119.75,120.75,101.75,108.75,7436,0.0,0.0
2022-03-22 00:00:00-04:00,111.25,113.75,108.75,110.75,2740,0.0,0.0
